Identificador,Fecha,Estado,Tipo,Cuenta,Beneficiario,Categoría,Importe,Divisa,Número,Notas
20997,19/02/2024,R,Transfer,ING 6367 (Hipoteca),Amortizacion Hipoteca,Transferencias,1573.36,EUR,#20997,
38686,10/04/2021,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,1308.11,EUR,#38686,
38792,02/08/2021,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,1555.51,EUR,#38792,
38969,17/11/2021,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,1971.81,EUR,#38969,
38978,22/11/2021,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,227.20,EUR,#38978,
39022,22/12/2021,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,193.50,EUR,#39022,
39229,13/04/2022,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,2080.00,EUR,#39229,
39366,17/05/2022,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,58.37,EUR,#39366,
39418,25/06/2022,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,150.00,EUR,#39418,
39646,19/11/2022,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,2307.18,EUR,#39646,
39686,13/12/2022,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,114.46,EUR,#39686,
42020,03/05/2023,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,77.38,EUR,#42020,
42052,20/05/2023,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,438.36,EUR,#42052,
43490,09/07/2023,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,1836.59,EUR,#43490,
44288,01/10/2023,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,294.41,EUR,#44288,
44453,16/10/2023,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,2946.25,EUR,#44453,
44530,19/10/2023,R,Transfer,Deposito ING 4 mese,Amortizacion Hipoteca,Transferencias,1500.00,EUR,#44530,
44532,16/10/2023,R,Transfer,ING 4448 (Ahorros),Amortizacion Hipoteca,Transferencias,343.44,EUR,#44532,
45532,21/05/2024,R,Transfer,ING 6367 (Hipoteca),Amortizacion Hipoteca,Transferencias,243.97,EUR,#45532,
39798,28/02/2023,R,Transfer,ING 4448 (Ahorros),Anticipo Doble Paga,Transferencias,265.00,EUR,#39798,
39882,01/04/2023,R,Transfer,ING 4448 (Ahorros),Anticipo Doble Paga,Transferencias,321.00,EUR,#39882,
41926,01/05/2023,R,Transfer,ING 4448 (Ahorros),Anticipo Doble Paga,Transferencias,321.00,EUR,#41926,
43047,01/06/2023,R,Transfer,ING 4448 (Ahorros),Anticipo Doble Paga,Transferencias,321.00,EUR,#43047,
43420,01/07/2023,R,Transfer,ING 4448 (Ahorros),Anticipo Doble Paga,Transferencias,321.00,EUR,#43420,
43674,01/08/2023,R,Transfer,ING 4448 (Ahorros),Anticipo Doble Paga,Transferencias,321.00,EUR,#43674,
43862,01/09/2023,R,Transfer,ING 4448 (Ahorros),Anticipo Doble Paga,Transferencias,321.00,EUR,#43862,
44274,01/10/2023,R,Transfer,ING 4448 (Ahorros),Anticipo Doble Paga,Transferencias,321.00,EUR,#44274,
44593,01/11/2023,R,Transfer,ING 4448 (Ahorros),Anticipo Doble Paga,Transferencias,321.00,EUR,#44593,
44909,01/12/2023,R,Transfer,ING 4448 (Ahorros),Anticipo Doble Paga,Transferencias,321.00,EUR,#44909,
45413,01/01/2024,R,Transfer,ING 4448 (Ahorros),Anticipo Doble Paga,Transferencias,321.00,EUR,#45413,
40200,24/05/2021,R,Withdrawal,Aygo,Desconocido,Inmovilizado:Amortización de inmovilizado,0.00,EUR,,Amortizacion Inmovilizado
40201,01/11/2021,R,Withdrawal,Aygo,Desconocido,Inmovilizado:Amortización de inmovilizado,0.00,EUR,,Amortizacion Inmovilizado
40202,01/11/2021,R,Withdrawal,Aygo,Tino,Venta de Articulos,0.00,EUR,,
41395,01/11/2021,R,Transfer,Venta Aygo Tino,Aygo,Transferencias,4000.00,EUR,,Venta Coche
20413,09/01/2024,R,Transfer,ING 2351 Principal,Bancos Anteriores,Transferencias,117.96,EUR,#20413,
25001,17/10/2001,R,Withdrawal,Bancos Anteriores,Colegio San Pablo,Estudios:Matriculas,0.00,EUR,,Cuota Septiembre
25002,17/10/2001,R,Withdrawal,Bancos Anteriores,Colegio San Pablo,Estudios:Matriculas,0.00,EUR,,Cuota Octubre
25003,05/11/2001,R,Withdrawal,Bancos Anteriores,Colegio San Pablo,Estudios:Matriculas,0.00,EUR,,Cuota Noviembre
25004,05/12/2001,R,Withdrawal,Bancos Anteriores,Colegio San Pablo,Estudios:Matriculas,0.00,EUR,,Cuota Diciembre
25005,31/12/2001,R,Deposit,Bancos Anteriores,Desconocido,Familia,0.00,EUR,,Pagado Padres
25006,15/01/2002,R,Withdrawal,Bancos Anteriores,Colegio San Pablo,Estudios:Matriculas,0.00,EUR,,Cuota Enero
25007,07/02/2002,R,Withdrawal,Bancos Anteriores,Colegio San Pablo,Estudios:Matriculas,0.00,EUR,,Cuota Febero
25008,07/03/2002,R,Withdrawal,Bancos Anteriores,Colegio San Pablo,Estudios:Matriculas,0.00,EUR,,Cuota Marzo
25009,12/04/2002,R,Withdrawal,Bancos Anteriores,Colegio San Pablo,Estudios:Matriculas,0.00,EUR,,Cuota Abril
25010,02/05/2002,R,Withdrawal,Bancos Anteriores,Colegio San Pablo,Estudios:Matriculas,0.00,EUR,,Cuota Mayo
25011,10/06/2002,R,Withdrawal,Bancos Anteriores,Colegio San Pablo,Estudios:Matriculas,0.00,EUR,,Cuota Junio
25012,02/07/2002,R,Withdrawal,Bancos Anteriores,I.E.S. Cesar Manrique,Estudios:Matriculas,0.00,EUR,,Titulo Desarrollo de Aplicaciones Informaticas
25013,22/07/2002,R,Withdrawal,Bancos Anteriores,Escuela Oficial De Idiomas,Estudios:Matriculas,0.00,EUR,,
25014,31/12/2002,R,Deposit,Bancos Anteriores,Desconocido,Familia,0.00,EUR,,Pagado Padres
25016,06/04/2003,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25018,06/05/2003,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25019,27/05/2003,R,Withdrawal,Bancos Anteriores,Auto Laca,Coche:Reparaciones,0.00,EUR,,Aceite 7.068 km./nBerlingo:Reparaciones
25021,06/06/2003,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25022,30/06/2003,R,Withdrawal,Bancos Anteriores,I.E.S. Cesar Manrique,Estudios:Matriculas,0.00,EUR,,
25023,04/07/2003,R,Withdrawal,Bancos Anteriores,Gobierno De Canarias,Pagos:Impuestos,0.00,EUR,,Licencia de Pesca
25025,06/07/2003,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25026,26/07/2003,R,Withdrawal,Bancos Anteriores,Gobierno De Canarias,Pagos:Impuestos,0.00,EUR,,Licencia de Pesca
